Fecha_medición,ID_parcela,NDVI,NDRE,Precipitación,Temperatura_media,Días_sin_lluvia,Tipo_suelo,Biomasa_real,Categoría_biomasa
2024-01-01,P008,0.798,0.451,3.4,30.2,4,Arenoso,4567.8,Media
2024-01-08,P009,0.369,0.44,87.9,28.5,7,Arenoso,2857.5,Baja
2024-01-15,P002,0.872,0.304,24.3,33.9,4,Arcilloso,4812.4,Media
2024-01-22,P014,0.338,0.108,55.7,25.8,9,Arenoso,2442.2,Baja
2024-01-29,P014,0.866,0.391,3.9,21.0,3,Arenoso,6110.8,Alta
2024-02-05,P004,0.896,0.227,66.7,20.3,11,Franco,6013.9,Alta
2024-02-12,P006,0.698,0.325,32.3,32.4,5,Franco,4122.3,Media
2024-02-19,P011,0.887,0.579,89.8,27.9,12,Arenoso,5317.1,Media
2024-02-26,P003,0.599,0.3,88.8,31.6,14,Arenoso,2878.5,Baja
2024-03-04,P008,0.382,0.52,32.5,23.5,11,Franco,3584.0,Media
2024-03-11,P003,0.506,0.194,90.1,25.2,4,Arenoso,3525.5,Media
2024-03-18,P014,0.615,0.436,99.6,20.5,13,Arcilloso,4698.0,Media
2024-03-25,P013,0.251,0.589,82.5,34.4,6,Arcilloso,911.8,Baja
2024-04-01,P013,0.636,0.151,84.5,30.0,13,Arcilloso,3831.6,Media
2024-04-08,P002,0.887,0.104,24.9,34.0,9,Arenoso,4865.9,Media
2024-04-15,P013,0.333,0.317,57.7,24.0,6,Franco,3345.6,Media
2024-04-22,P019,0.755,0.146,6.7,29.2,12,Arenoso,4775.1,Media
2024-04-29,P006,0.836,0.474,9.5,30.2,3,Arenoso,4826.3,Media
2024-05-06,P016,0.861,0.557,99.9,24.8,11,Franco,4861.7,Media
2024-05-13,P002,0.872,0.317,32.7,32.7,12,Franco,4629.7,Media
2024-05-20,P008,0.565,0.229,74.8,34.2,4,Franco,2727.2,Baja
2024-05-27,P017,0.884,0.317,80.7,33.3,12,Arcilloso,4660.5,Media
2024-06-03,P002,0.73,0.462,85.8,31.1,2,Arenoso,3675.1,Media
2024-06-10,P010,0.313,0.105,99.8,24.2,14,Franco,2581.9,Baja
2024-06-17,P016,0.534,0.395,24.1,24.2,3,Arenoso,3594.8,Media
2024-06-24,P006,0.703,0.407,4.0,34.5,14,Arcilloso,3400.6,Media
2024-07-01,P002,0.373,0.419,41.1,20.2,13,Arcilloso,3183.5,Media
2024-07-08,P002,0.648,0.221,13.0,30.7,3,Franco,3629.2,Media
2024-07-15,P013,0.667,0.457,2.2,30.6,2,Franco,3860.9,Media
2024-07-22,P015,0.314,0.146,36.0,29.3,12,Arenoso,1390.5,Baja
2024-07-29,P002,0.596,0.2,78.4,34.9,9,Franco,2277.1,Baja
2024-08-05,P007,0.74,0.539,56.6,24.7,4,Arenoso,4628.4,Media
2024-08-12,P003,0.549,0.469,31.3,25.1,4,Franco,3675.7,Media
