-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2024 through 12/31/2025 in LST
Location: Latitude  8.7333   Longitude -75.9049 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 69.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface Total PAR (MJ/m^2/day) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
IMERG_PRECTOT          MERRA-2 Total Precipitation (mm/day) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_PAR_TOT,2024,9.2,8.73,8.37,8.33,8.2,8.72,9.89,9.1,8.65,8.28,7.93,7.91,8.61
ALLSKY_SFC_PAR_TOT,2025,9.08,8.06,8.5,8.38,8.37,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
CLOUD_AMT,2024,27.66,54.48,52.62,77.02,85.92,87.29,81.09,79.63,83.52,81.1,76.15,66.24,71.04
CLOUD_AMT,2025,42.73,75.18,65.42,83.83,90.23,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2024,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
IMERG_PRECTOT,2025,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
RH2M,2024,71.69,70.52,66.31,75.11,83.62,84.48,82.03,82.3,82.84,84.3,84.6,82.62,79.22
RH2M,2025,78.51,76.0,76.26,80.09,82.28,83.29,81.83,81.78,-999.0,-999.0,-999.0,-999.0,-999.0
T2M,2024,29.86,29.58,30.94,29.75,28.71,27.85,28.52,28.21,28.24,27.82,27.0,27.52,28.67
T2M,2025,27.9,28.44,28.68,28.45,28.12,27.84,27.97,28.02,-999.0,-999.0,-999.0,-999.0,-999.0
T2M_MAX,2024,39.83,40.42,42.02,40.95,37.56,35.84,36.1,36.26,37.76,37.52,36.89,35.14,42.02
T2M_MAX,2025,36.45,37.36,38.95,38.16,37.05,35.27,35.12,35.28,-999.0,-999.0,-999.0,-999.0,-999.0
T2M_MIN,2024,23.18,22.56,23.53,23.66,24.31,22.67,23.26,23.24,21.91,22.85,21.77,21.87,21.77
T2M_MIN,2025,22.66,22.61,22.3,24.12,23.38,22.77,22.8,22.3,-999.0,-999.0,-999.0,-999.0,-999.0
